wave,depth
3500.3331,0.679
3500.5647,0.299
3500.847,0.459
3500.854,0.576
3501.717,0.57
3502.2802,0.508
3502.5948,0.176
3503.467,0.486
3504.4357,0.554
3504.8605,0.207
3504.8908,0.814
3505.0581,0.294
3505.482,0.188
3505.666,0.454
3505.8922,0.277
3506.3128,0.45
3506.4974,0.437
3507.1393,0.16
3507.3949,0.492
3507.7817,0.174
3508.2043,0.466
3508.4738,0.35
3508.5179,0.211
3509.8357,0.561
3509.841,0.316
3510.333,0.352
3510.334,0.162
3510.335,0.611
3510.336,0.683
3510.4388,0.27
3510.8399,0.804
3511.824,0.679
3512.2244,0.168
3512.6402,0.395
3513.4797,0.25
3513.8174,0.678
3513.929,0.311
3513.932,0.159
3513.9866,0.707
3515.051,0.328
3515.052,0.758
3515.052,0.703
3515.052,0.365
3515.052,0.54
3516.214,0.237
3516.4085,0.206
3516.5564,0.263
3517.2994,0.68
3518.3478,0.334
3518.6343,0.23
3518.6826,0.155
3518.8676,0.169
3519.761,0.355
3519.768,0.506
3520.019,0.417
3520.252,0.72
3521.2609,0.696
3521.5663,0.255
3521.6218,0.205
3521.834,0.155
3521.8368,0.332
3522.2679,0.352
3522.8976,0.21
3523.3084,0.248
3523.4331,0.253
3523.4397,0.194
3523.5473,0.199
3524.0409,0.358
3524.0739,0.324
3524.2393,0.428
3524.531,0.429
3524.534,0.596
3524.535,0.462
3524.536,0.737
3524.537,0.785
3524.716,0.468
3526.0405,0.672
3526.1655,0.645
3526.2378,0.485
3526.3811,0.548
3526.4245,0.342
3526.467,0.504
3526.6745,0.537
3526.6828,0.222
3526.8495,0.37
3527.7925,0.513
3527.983,0.231
3529.0326,0.213
3529.8079,0.434
3529.8195,0.524
3530.3866,0.371
3530.5906,0.16
3530.772,0.623
3531.71,0.281
3531.8383,0.182
3531.9999,0.263
3532.1111,0.269
3532.5689,0.209
3533.0063,0.532
3533.1981,0.573
3533.3584,0.164
3533.8542,0.42
3535.4073,0.745
3535.625,0.245
3535.714,0.655
3536.5559,0.613
3537.4916,0.216
3537.7286,0.359
3537.8946,0.427
3538.2387,0.183
3538.3056,0.199
3540.1208,0.408
3540.7091,0.314
3541.0831,0.637
3542.0752,0.628
3542.2434,0.176
3542.639,0.276
3543.6749,0.269
3544.6295,0.175
3545.1959,0.664
3545.6397,0.504
3547.1599,0.245
3547.1937,0.25
3547.7979,0.334
3547.8989,0.367
3548.019,0.199
3548.0202,0.299
3548.1818,0.175
3548.183,0.484
3548.183,0.329
3549.0027,0.539
3551.951,0.483
3552.1054,0.152
3552.828,0.406
3552.8298,0.171
3553.7381,0.538
3554.1178,0.411
3554.5013,0.316
3554.9241,0.678
3556.594,0.537
3556.6804,0.195
3556.7999,0.706
3556.8777,0.586
3558.5148,0.729
3558.532,0.722
3559.5032,0.285
3560.5897,0.28
3560.6968,0.244
3561.105,0.238
3561.5755,0.571
3561.7515,0.251
3561.893,0.277
3561.8936,0.4
3564.5356,0.442
3565.2936,0.437
3565.3787,0.786
3565.5736,0.171
3565.5815,0.485
3565.9669,0.569
3565.967,0.482
3566.0604,0.161
3566.1521,0.323
3566.1777,0.43
3566.3083,0.202
3566.371,0.207
3566.372,0.706
3566.372,0.642
3566.372,0.24
3566.372,0.437
3567.0311,0.344
3567.696,0.704
3568.8227,0.248
3568.974,0.34
3569.376,0.469
3569.4949,0.427
3569.808,0.254
3570.0097,0.277
3570.0974,0.813
3570.254,0.713
3571.852,0.162
3571.86,0.48
3571.867,0.584
3571.9949,0.553
3572.468,0.636
3572.526,0.813
3572.5903,0.242
3573.0518,0.152
3573.3936,0.265
3573.7315,0.693
3573.8288,0.372
3573.8885,0.497
3574.3393,0.152
3575.113,0.31
3575.245,0.375
3575.359,0.246
3575.3695,0.445
3575.9762,0.295
3576.34,0.782
3576.758,0.3
3576.7644,0.632
3576.853,0.477
3577.868,0.27
3577.9989,0.167
3578.3822,0.198
3578.6721,0.191
3578.704,0.701
3580.925,0.76
3581.1927,0.833
3581.6465,0.279
3581.8069,0.242
3582.1994,0.461
3582.3183,0.172
3583.3245,0.326
3583.33,0.255
3583.6824,0.159
3584.3368,0.175
3584.5155,0.49
3584.6591,0.582
3584.7858,0.389
3584.9574,0.539
3585.1897,0.193
3585.287,0.765
3585.3186,0.705
3585.492,0.656
3585.5688,0.156
3585.7051,0.653
3586.0044,0.382
3586.1033,0.538
3586.1126,0.563
3586.538,0.183
3586.7384,0.326
3586.9843,0.702
3587.1309,0.664
3587.1859,0.373
3587.2388,0.372
3587.423,0.284
3587.7521,0.492
3587.9273,0.226
3587.974,0.208
3588.5264,0.301
3588.6088,0.464
3588.9172,0.357
3589.1046,0.461
3589.4516,0.414
3589.632,0.678
3589.7591,0.654
3590.474,0.68
3591.3984,0.296
3592.0216,0.66
3593.0756,0.33
3593.333,0.594
3593.502,0.683
3594.632,0.536
3594.8716,0.176
3595.3014,0.285
3596.0465,0.763
3597.0207,0.218
3597.701,0.167
3597.703,0.482
3597.704,0.584
3599.6248,0.354
3600.7324,0.674
3601.9155,0.571
3602.28,0.249
3602.462,0.374
3602.5254,0.428
3603.203,0.56
3603.6147,0.579
3603.7727,0.685
3603.8175,0.266
3603.8274,0.472
3604.3717,0.156
3604.471,0.183
3605.2007,0.301
3605.344,0.659
3605.4524,0.585
3605.5003,0.524
3606.5992,0.162
3606.679,0.655
3608.1415,0.371
3608.8091,0.441
3608.8589,0.778
3609.3113,0.296
3610.1589,0.617
3610.46,0.178
3610.462,0.491
3610.463,0.59
3610.6946,0.242
3611.0429,0.644
3611.4822,0.288
3611.889,0.276
3612.0683,0.471
3612.736,0.352
3612.743,0.495
3613.098,0.393
3613.1237,0.292
3613.1448,0.156
3613.1787,0.55
3613.4416,0.207
3613.4436,0.307
3613.829,0.823
3614.112,0.279
3614.765,0.43
3614.8822,0.452
3617.3183,0.356
3617.7859,0.551
3618.2987,0.306
3618.3858,0.421
3618.5965,0.34
3618.7675,0.788
3618.9312,0.156
3619.389,0.303
3619.39,0.508
3619.391,0.734
3619.391,0.676
3619.391,0.338
3620.4657,0.289
3621.1021,0.299
3621.2087,0.217
3621.219,0.422
3621.2644,0.47
3621.4605,0.594
3621.7187,0.233
3622.0032,0.566
3622.2617,0.41
3623.1858,0.497
3623.4461,0.188
3623.773,0.348
3624.2799,0.418
3624.732,0.196
3624.826,0.692
3624.8262,0.729
3624.8852,0.387
3625.1414,0.383
3627.7048,0.361
3628.702,0.34
3630.3473,0.377
3630.742,0.801
3630.7521,0.197
3631.0968,0.517
3631.461,0.677
3631.4629,0.785
3631.671,0.584
3632.0384,0.51
3632.296,0.287
3632.5553,0.285
3632.9766,0.258
3633.0686,0.257
3633.1212,0.614
3634.1886,0.347
3634.3278,0.356
3634.6969,0.517
3635.0142,0.179
3635.1852,0.185
3635.3401,0.502
3635.462,0.258
3635.7461,0.47
3636.1613,0.186
3636.2235,0.311
3636.6489,0.152
3636.7413,0.328
3636.9938,0.227
3637.2482,0.156
3637.8651,0.293
3638.2962,0.519
3639.795,0.265
3640.3881,0.574
3641.0238,0.185
3641.328,0.727
3641.3282,0.755
3642.6731,0.294
3642.784,0.779
3643.2042,0.384
3643.6229,0.439
3643.7149,0.227
3643.7931,0.161
3644.4129,0.286
3644.6898,0.383
3644.7946,0.184
3645.0748,0.218
3645.311,0.7
3645.5031,0.278
3645.8199,0.409
3646.9804,0.451
3647.3881,0.68
3647.4236,0.798
3647.8422,0.935
3647.8426,0.276
3647.9825,0.193
3648.7069,0.745
3648.8146,0.37
3648.993,0.261
3649.0035,0.165
3649.3025,0.646
3649.3332,0.206
3649.5059,0.878
3649.8298,0.363
3650.0294,0.837
3650.0977,0.818
3650.2695,0.309
3650.2787,0.843
3650.3584,0.731
3650.4189,0.459
3650.5349,0.418
