wave,depth
3500.1543,0.205
3500.3331,0.862
3500.5647,0.729
3500.832,0.499
3500.84,0.718
3500.843,0.545
3500.847,0.833
3500.854,0.869
3501.5678,0.314
3501.717,0.763
3502.2802,0.845
3502.5895,0.233
3502.5922,0.649
3502.5948,0.748
3502.6216,0.7
3503.467,0.726
3504.216,0.262
3504.4357,0.784
3504.4499,0.433
3504.8605,0.697
3504.8908,0.908
3505.0581,0.716
3505.482,0.462
3505.666,0.768
3505.8922,0.55
3506.048,0.165
3506.229,0.428
3506.3128,0.827
3506.4974,0.784
3506.5801,0.538
3507.1393,0.611
3507.3949,0.712
3507.688,0.163
3507.692,0.566
3507.694,0.708
3507.7817,0.362
3508.2043,0.715
3508.4738,0.738
3508.5179,0.689
3509.1178,0.403
3509.14,0.174
3509.7251,0.476
3509.8357,0.764
3509.841,0.788
3509.8616,0.64
3510.1841,0.392
3510.33,0.715
3510.333,0.803
3510.334,0.732
3510.335,0.88
3510.336,0.904
3510.419,0.711
3510.4388,0.719
3510.455,0.327
3510.5664,0.438
3510.8399,0.902
3511.6166,0.256
3511.7377,0.362
3511.824,0.826
3511.8683,0.418
3511.9163,0.291
3512.2244,0.649
3512.631,0.192
3512.6402,0.809
3512.8027,0.337
3512.9552,0.62
3513.0428,0.228
3513.0531,0.672
3513.4797,0.779
3513.5908,0.223
3513.8174,0.897
3513.929,0.791
3513.932,0.73
3513.933,0.17
3513.935,0.4
3513.9866,0.835
3514.6272,0.607
3515.051,0.798
3515.052,0.926
3515.052,0.911
3515.052,0.808
3515.052,0.857
3516.214,0.667
3516.4085,0.669
3516.5564,0.705
3517.0257,0.216
3517.2994,0.847
3517.4856,0.19
3518.3478,0.78
3518.6343,0.662
3518.6826,0.635
3518.8676,0.673
3519.746,0.357
3519.753,0.643
3519.757,0.407
3519.761,0.801
3519.768,0.844
3520.0075,0.38
3520.019,0.713
3520.0229,0.538
3520.0803,0.7
3520.252,0.853
3520.5388,0.158
3520.8219,0.157
3520.8462,0.601
3520.874,0.212
3521.2609,0.902
3521.5663,0.77
3521.6218,0.447
3521.834,0.359
3521.8368,0.748
3522.2679,0.74
3522.8976,0.676
3523.069,0.243
3523.1744,0.356
3523.3084,0.697
3523.4331,0.764
3523.4397,0.753
3523.4442,0.665
3523.4487,0.258
3523.5473,0.4
3523.7015,0.304
3523.98,0.297
3524.0409,0.748
3524.0739,0.736
3524.2393,0.779
3524.531,0.826
3524.534,0.877
3524.535,0.835
3524.536,0.921
3524.537,0.933
3524.716,0.74
3524.796,0.178
3524.8336,0.241
3525.807,0.465
3526.0405,0.902
3526.1248,0.16
3526.1655,0.883
3526.2378,0.787
3526.3811,0.814
3526.4245,0.537
3526.467,0.806
3526.5348,0.376
3526.6745,0.809
3526.6828,0.678
3526.7255,0.362
3526.7761,0.186
3526.8495,0.815
3526.961,0.388
3527.7925,0.8
3527.8906,0.559
3527.969,0.301
3527.976,0.689
3527.983,0.765
3528.2357,0.172
3528.8869,0.353
3528.9358,0.203
3529.0326,0.762
3529.523,0.484
3529.8079,0.82
3529.8195,0.804
3529.99,0.19
3530.3866,0.747
3530.5906,0.607
3530.772,0.818
3530.9633,0.158
3531.4372,0.618
3531.4904,0.204
3531.71,0.714
3531.8383,0.663
3531.8498,0.3
3531.9999,0.708
3532.1111,0.711
3532.5689,0.662
3532.6859,0.167
3533.0063,0.807
3533.1981,0.826
3533.3584,0.737
3533.8542,0.673
3534.5247,0.478
3534.6773,0.319
3534.905,0.448
3534.96,0.259
3535.3178,0.284
3535.4073,0.868
3535.625,0.406
3535.6351,0.151
3535.714,0.848
3536.02,0.356
3536.5559,0.844
3536.943,0.233
3537.2406,0.178
3537.4916,0.687
3537.6243,0.193
3537.6588,0.274
3537.7286,0.746
3537.8946,0.765
3538.2387,0.476
3538.2514,0.359
3538.3056,0.644
3538.52,0.307
3538.5542,0.573
3538.782,0.294
3538.9275,0.171
3540.0964,0.428
3540.1208,0.757
3540.7091,0.774
3540.7999,0.429
3541.0831,0.856
3541.8552,0.19
3542.0246,0.18
3542.0752,0.851
3542.2434,0.674
3542.2799,0.225
3542.328,0.153
3542.5596,0.157
3542.639,0.567
3543.2588,0.268
3543.3844,0.602
3543.6749,0.689
3544.2433,0.348
3544.5962,0.597
3544.6295,0.661
3545.0201,0.269
3545.1622,0.216
3545.1959,0.839
3545.5044,0.174
3545.5274,0.232
3545.6397,0.795
3545.79,0.272
3545.8297,0.507
3546.204,0.372
3547.1599,0.681
3547.1937,0.684
3547.222,0.486
3547.7649,0.468
3547.7658,0.192
3547.7979,0.734
3547.8293,0.16
3547.8989,0.742
3547.9514,0.224
3548.019,0.663
3548.0202,0.721
3548.1749,0.479
3548.1818,0.657
3548.183,0.837
3548.183,0.793
3548.183,0.38
3548.183,0.624
3548.183,0.334
3548.4419,0.152
3549.0027,0.805
3549.2322,0.35
3549.2927,0.265
3549.359,0.28
3549.508,0.213
3549.8643,0.652
3550.22,0.214
3550.5938,0.602
3550.6271,0.403
3551.0027,0.179
3551.109,0.261
3551.3915,0.174
3551.529,0.53
3551.534,0.686
3551.951,0.779
3552.1054,0.623
3552.4249,0.267
3552.7448,0.443
3552.828,0.756
3552.8298,0.482
3552.8547,0.58
3552.9383,0.217
3552.9863,0.208
3553.4396,0.197
3553.4785,0.61
3553.4826,0.411
3553.7381,0.798
3554.0085,0.397
3554.071,0.196
3554.1178,0.801
3554.4413,0.453
3554.5013,0.723
3554.6428,0.481
3554.9241,0.874
3555.0914,0.157
3555.4491,0.489
3556.594,0.791
3556.6804,0.664
3556.7999,0.86
3556.8777,0.832
3558.4104,0.313
3558.5148,0.911
3558.532,0.884
3558.6204,0.507
