wave,depth
3500.1543,0.723
3500.3331,0.941
3500.5647,0.922
3500.5833,0.183
3500.832,0.918
3500.84,0.951
3500.843,0.924
3500.847,0.975
3500.854,0.981
3500.8861,0.284
3501.5678,0.753
3501.717,0.829
3502.2802,0.977
3502.4664,0.487
3502.522,0.207
3502.5869,0.705
3502.5895,0.872
3502.5908,0.749
3502.5922,0.942
3502.5948,0.959
3502.6216,0.951
3502.8537,0.219
3503.467,0.817
3503.7144,0.318
3504.216,0.694
3504.4357,0.881
3504.4499,0.836
3504.5883,0.509
3504.7303,0.319
3504.7679,0.198
3504.8605,0.916
3504.8908,0.95
3505.0129,0.184
3505.0581,0.909
3505.1326,0.466
3505.22,0.223
3505.449,0.204
3505.482,0.644
3505.512,0.237
3505.666,0.893
3505.8922,0.686
3506.048,0.31
3506.229,0.833
3506.3128,0.974
3506.4974,0.946
3506.501,0.219
3506.5801,0.859
3506.6384,0.694
3506.81,0.254
3507.1393,0.858
3507.1996,0.222
3507.3796,0.233
3507.3949,0.784
3507.677,0.181
3507.685,0.567
3507.688,0.833
3507.69,0.622
3507.692,0.926
3507.694,0.949
3507.7817,0.412
3508.2043,0.807
3508.4738,0.919
3508.5179,0.908
3508.6101,0.28
3508.6371,0.352
3508.7654,0.291
3509.0232,0.192
3509.1178,0.828
3509.14,0.449
3509.32,0.261
3509.7251,0.845
3509.7458,0.452
3509.7491,0.691
3509.8357,0.849
3509.841,0.965
3509.8616,0.901
3510.0572,0.448
3510.1841,0.789
3510.33,0.95
3510.333,0.969
3510.334,0.953
3510.335,0.982
3510.336,0.985
3510.419,0.954
3510.4388,0.92
3510.455,0.595
3510.534,0.561
3510.5664,0.851
3510.8399,0.947
3511.4277,0.263
3511.6166,0.679
3511.6243,0.201
3511.7377,0.826
3511.824,0.887
3511.8683,0.777
3511.9163,0.704
3512.219,0.171
3512.2244,0.889
3512.496,0.226
3512.631,0.378
3512.6402,0.97
3512.6771,0.641
3512.7215,0.245
3512.8027,0.805
3512.9552,0.875
3513.0428,0.207
3513.0531,0.922
3513.057,0.334
3513.3973,0.227
3513.4725,0.218
3513.4797,0.968
3513.5908,0.744
3513.647,0.229
3513.8174,0.984
3513.8358,0.261
3513.873,0.183
3513.929,0.966
3513.932,0.953
3513.933,0.837
3513.935,0.9
3513.938,0.817
3513.9866,0.877
3514.4108,0.218
