wave,depth
3500.1543,0.882
3500.3304,0.23
3500.3331,0.974
3500.5647,0.968
3500.5833,0.253
3500.8087,0.32
3500.832,0.984
3500.84,0.993
3500.843,0.986
3500.847,0.996
3500.854,0.997
3500.8861,0.503
3501.103,0.355
3501.343,0.863
3501.489,0.451
3501.496,0.185
3501.5678,0.86
3501.5804,0.157
3501.717,0.489
3502.1843,0.246
3502.2802,0.997
3502.4664,0.761
3502.522,0.893
3502.5869,0.942
3502.5895,0.971
3502.5908,0.947
3502.5922,0.991
3502.5948,0.995
3502.6216,0.994
3502.8537,0.507
3503.3838,0.155
3503.467,0.535
3503.7144,0.688
3503.728,0.454
3503.7551,0.931
3504.0694,0.191
3504.216,0.816
3504.4357,0.912
3504.4499,0.921
3504.5535,0.833
3504.5883,0.603
3504.7303,0.633
3504.7679,0.879
3504.8605,0.968
3504.8908,0.961
3504.9316,0.35
3505.0129,0.453
3505.034,0.265
3505.0581,0.955
3505.1326,0.69
3505.22,0.178
3505.449,0.289
3505.482,0.622
3505.512,0.391
3505.666,0.945
3505.6798,0.788
3505.8922,0.612
3506.048,0.308
3506.229,0.919
3506.3128,0.996
3506.4974,0.984
3506.501,0.223
3506.5801,0.931
3506.6384,0.985
3506.81,0.487
3506.8358,0.381
3506.9697,0.389
3507.1393,0.918
3507.1996,0.573
3507.311,0.608
3507.3796,0.483
3507.3949,0.441
3507.5207,0.307
3507.677,0.203
3507.685,0.921
3507.688,0.956
3507.69,0.928
3507.692,0.986
3507.694,0.992
3507.9409,0.209
3507.957,0.252
3508.113,0.197
3508.1368,0.204
3508.2043,0.513
3508.4738,0.961
3508.5179,0.96
3508.6101,0.639
3508.6371,0.58
3508.7654,0.504
3509.0641,0.302
3509.1178,0.917
3509.14,0.734
3509.32,0.952
3509.7251,0.924
3509.7428,0.262
3509.7458,0.752
3509.7491,0.867
3509.8357,0.86
3509.841,0.995
3509.8616,0.961
3510.0572,0.736
3510.1841,0.879
3510.33,0.992
3510.333,0.996
3510.334,0.993
3510.335,0.997
3510.336,0.997
3510.4088,0.296
3510.419,0.994
3510.4388,0.968
3510.455,0.702
3510.475,0.263
3510.534,0.894
3510.5664,0.934
3510.8182,0.266
3510.8399,0.957
3511.1826,0.213
3511.4277,0.524
3511.6166,0.734
3511.6243,0.948
3511.7377,0.922
3511.816,0.242
3511.824,0.88
3511.83,0.291
3511.8683,0.817
3511.9163,0.747
3512.0822,0.259
3512.219,0.299
3512.2244,0.945
3512.496,0.267
3512.631,0.421
3512.6402,0.996
3512.6646,0.209
3512.6771,0.855
3512.7215,0.541
3512.8027,0.907
3512.93,0.175
3512.9552,0.935
3513.0531,0.979
3513.057,0.476
3513.3704,0.189
3513.3838,0.23
3513.3973,0.47
3513.472,0.645
3513.4725,0.39
3513.4797,0.996
3513.5908,0.889
3513.647,0.59
3513.8174,0.997
3513.8358,0.465
3513.8493,0.233
3513.9008,0.252
3513.929,0.995
3513.932,0.993
3513.933,0.956
3513.935,0.977
3513.938,0.951
3513.9866,0.591
3514.487,0.591
3514.6272,0.951
3514.7948,0.887
3514.8912,0.339
3515.051,0.996
3515.052,0.997
3515.052,0.997
3515.052,0.996
3515.052,0.997
3515.399,0.335
3516.0036,0.21
3516.214,0.91
3516.4085,0.945
3516.4343,0.26
3516.5564,0.956
3516.6728,0.347
3516.832,0.879
3516.944,0.912
3516.9838,0.245
3517.0257,0.68
3517.1913,0.295
3517.262,0.17
3517.2994,0.942
3517.3774,0.338
3517.4441,0.395
3518.2896,0.348
3518.3029,0.327
3518.3478,0.992
3518.6343,0.908
3518.6826,0.942
3518.6979,0.158
3518.8676,0.966
3519.0739,0.204
3519.1561,0.307
3519.228,0.748
3519.6,0.961
3519.634,0.332
3519.6554,0.171
3519.7123,0.385
3519.746,0.973
3519.753,0.988
3519.757,0.976
3519.761,0.995
3519.768,0.996
3519.9335,0.932
3520.0075,0.86
3520.019,0.87
3520.0229,0.918
3520.0803,0.994
3520.1589,0.395
3520.2252,0.384
3520.252,0.924
3520.3373,0.339
3520.52,0.23
3520.8219,0.786
3520.8462,0.945
3520.874,0.55
3521.2609,0.997
3521.4131,0.326
3521.5195,0.716
3521.5261,0.329
3521.5663,0.995
3521.6218,0.226
3521.7314,0.885
3521.7432,0.263
3521.834,0.325
3521.8368,0.979
3521.876,0.271
3522.2679,0.965
3522.3598,0.196
3522.56,0.2
3522.6223,0.38
3522.7283,0.737
3522.8434,0.71
3522.8976,0.949
3523.029,0.351
3523.069,0.957
3523.073,0.936
3523.075,0.485
3523.077,0.79
3523.081,0.426
3523.1744,0.893
3523.3084,0.954
