wave,depth
3500.1543,0.871
3500.3304,0.31
3500.3331,0.971
3500.5647,0.967
3500.5833,0.207
3500.8087,0.39
3500.832,0.984
3500.84,0.992
3500.843,0.986
3500.847,0.996
3500.854,0.997
3500.8861,0.44
3501.103,0.598
3501.343,0.914
3501.489,0.589
3501.496,0.197
3501.5678,0.835
3501.5804,0.312
3501.717,0.324
3502.1843,0.216
3502.1942,0.194
3502.269,0.306
3502.2802,0.996
3502.4664,0.716
3502.522,0.913
3502.5869,0.95
3502.5895,0.975
3502.5908,0.955
3502.5922,0.991
3502.5948,0.994
3502.6216,0.993
3502.6533,0.284
3502.779,0.264
3502.8537,0.46
3502.9054,0.255
3503.3838,0.181
3503.467,0.37
3503.7144,0.667
3503.728,0.462
3503.7551,0.953
3503.7692,0.199
3504.0694,0.204
3504.216,0.77
3504.4357,0.89
3504.4499,0.918
3504.5535,0.887
3504.5883,0.526
3504.7303,0.595
3504.7679,0.904
3504.8605,0.968
3504.8908,0.955
3504.9316,0.327
3505.0129,0.431
3505.034,0.223
3505.0581,0.955
3505.1326,0.635
3505.449,0.29
3505.482,0.519
3505.512,0.399
3505.5729,0.164
3505.666,0.937
3505.6798,0.847
3505.8922,0.512
3505.9492,0.271
3506.048,0.244
3506.229,0.915
3506.3128,0.996
3506.4974,0.982
3506.501,0.175
3506.5801,0.929
3506.6384,0.989
3506.81,0.528
3506.8358,0.483
3506.9697,0.444
3507.1393,0.911
3507.1996,0.536
3507.311,0.683
3507.3796,0.526
3507.3949,0.285
3507.4531,0.242
3507.5207,0.315
3507.677,0.162
3507.685,0.929
3507.688,0.963
3507.69,0.936
3507.692,0.987
3507.694,0.992
3507.9409,0.244
3507.957,0.373
3508.113,0.236
3508.1368,0.177
3508.2043,0.35
3508.2963,0.256
3508.3597,0.292
3508.4738,0.96
3508.5179,0.96
3508.6101,0.6
3508.6371,0.511
3508.7654,0.44
3509.0641,0.314
3509.1178,0.913
3509.14,0.781
3509.32,0.964
3509.7251,0.921
3509.7428,0.252
3509.7458,0.733
3509.7491,0.861
3509.8357,0.817
3509.841,0.994
3509.8616,0.961
3510.0572,0.688
3510.1841,0.86
3510.33,0.992
3510.333,0.995
3510.334,0.992
3510.335,0.997
3510.336,0.997
3510.4088,0.311
3510.419,0.994
3510.4388,0.967
3510.455,0.628
3510.475,0.223
3510.534,0.898
3510.5664,0.934
3510.6544,0.231
3510.8182,0.371
3510.8399,0.951
3511.1826,0.227
3511.226,0.165
3511.4277,0.468
3511.6166,0.668
3511.6243,0.967
3511.7377,0.92
3511.816,0.208
3511.824,0.827
3511.83,0.251
3511.8683,0.771
3511.9163,0.681
3512.0822,0.243
3512.219,0.308
3512.2244,0.946
3512.2536,0.172
3512.496,0.253
3512.5902,0.202
3512.631,0.344
3512.6402,0.995
3512.6646,0.242
3512.6771,0.839
3512.7215,0.491
3512.8027,0.902
3512.8926,0.282
3512.93,0.191
3512.9552,0.934
3513.0531,0.979
3513.057,0.431
3513.3704,0.254
3513.3838,0.224
3513.3973,0.417
3513.472,0.764
3513.4725,0.332
3513.4797,0.996
3513.5908,0.88
3513.647,0.65
3513.658,0.175
3513.8174,0.997
3513.8358,0.412
3513.8493,0.254
3513.9008,0.274
3513.929,0.995
3513.932,0.992
3513.933,0.963
3513.9346,0.209
3513.935,0.979
3513.938,0.959
3513.947,0.25
3513.9866,0.42
3514.487,0.683
3514.6156,0.273
3514.6272,0.953
3514.7948,0.88
3514.8912,0.292
3515.051,0.995
3515.052,0.997
3515.052,0.997
3515.052,0.996
3515.052,0.997
3515.399,0.318
3515.7092,0.193
3515.7238,0.238
3516.0036,0.163
3516.214,0.9
3516.4085,0.944
3516.4343,0.228
3516.5564,0.956
3516.6728,0.339
3516.832,0.904
3516.944,0.918
